"","x"
"1","SNRPD3"
"2","PFN1"
"3","SRRM1"
"4","HNRNPA2B1"
"5","YWHAB"
"6","RPL36"
"7","GDI2"
"8","NCL"
"9","RPL8"
"10","CSDE1"
"11","C14ORF2"
"12","ARF1"
"13","TARDBP"
"14","STOML2"
"15","RPS5"
"16","THRAP3"
"17","HNRNPM"
"18","POLR2E"
"19","SRSF3"
"20","CKS1B"
"21","COX6A1"
"22","RPL15"
"23","RPS19"
"24","NPM1"
"25","EIF3I"
"26","DHX9"
"27","ETF1"
"28","C9ORF78"
"29","RSL1D1"
"30","ZC3H15"
"31","YWHAE"
"32","LRRC59"
"33","MAPRE1"
"34","RPS20"
"35","COX7A2L"
"36","COX5B"
"37","RPS6"
"38","HSPA8"
"39","NASP"
"40","RHOA"
"41","CSNK2B"
"42","MRPL20"
"43","PSMA6"
"44","YME1L1"
"45","SF3A3"
"46","SNRPF"
"47","HNRNPU"
"48","EEF1B2"
"49","EIF4G2"
"50","HNRNPK"
"51","DDX18"
"52","SRSF7"
"53","RPL7A"
"54","WDR43"
"55","TCOF1"
"56","NACA"
"57","RPS25"
"58","SF3B5"
"59","PTMA"
"60","EIF3L"
"61","CKAP5"
"62","CHCHD2"
"63","SNRPG"
"64","RAB7A"
"65","SRSF10.UID_1003"
"66","HIGD2A"
"67","MCM3"
"68","RBM17"
"69","SZRD1"
"70","HSPA14"
"71","RPL30"
"72","RPS24"
"73","RPL10A"
"74","SRSF11"
"75","MRTO4"
"76","EBNA1BP2"
"77","SF3B1"
"78","RPS13"
"79","NDUFA13"
"80","EIF3F"
"81","PSME3"
"82","STRAP"
"83","SF3B2"
"84","CBX3"
"85","NAA50"
"86","SMC2"
"87","RAB5C"
"88","NACA2"
"89","FAM96B"
"90","SAFB"
"91","TRA2B"
"92","RPL28"
"93","IMMT"
"94","SRSF1"
"95","RBMX"
"96","SEC61G"
"97","RPA3"
"98","RANBP1"
"99","PLEKHB2"
"100","MRPS7"
"101","SCAF11"
"102","TMBIM6"
"103","LUC7L3"
"104","IMP4"
"105","U2AF1"
"106","RPL18A"
"107","SARNP"
"108","YBX1"
"109","RPS14P3"
"110","LMAN2"
"111","SON"
"112","NDUFA6"
"113","DAP3"
"114","AHSA1"
"115","DRG1"
"116","SRP14"
"117","PSMD8"
"118","VAPA"
"119","CNOT7"
"120","NOP16"
"121","BCLAF1"
"122","SET"
"123","NIFK"
"124","TWISTNB"
"125","POP7"
"126","NUDC"
"127","LRRC75A.AS1"
"128","RPS10"
"129","ELAC2"
"130","NOP58"
"131","CDC37"
"132","RBX1"
"133","EIF4B"
"134","GPS2"
"135","DDX21"
"136","C19ORF10"
"137","SNRPE"
"138","UBA52"
"139","NHP2L1"
"140","RPLP0"
"141","EXOSC10"
"142","ILF3"
"143","ILF2"
"144","EIF1AX"
"145","COPE"
"146","DKC1"
"147","OTUB1"
"148","RTFDC1"
"149","DDX27"
"150","ZNF207"
"151","PSMB6"
"152","MIR6797"
"153","MCM7"
"154","SNHG3"
"155","RNPS1"
"156","XRCC6"
"157","RAN"
"158","CD164"
"159","GAS5"
"160","BANF1"
"161","PRPF40A"
"162","EIF5B"
"163","SNHG16"
"164","BIRC5"
"165","SNRPB"
"166","NOP56"
"167","MIR6850"
"168","RPL35"
"169","ZFR"
"170","PCMT1"
"171","NDUFA2"
"172","EIF6"
"173","SAP30BP"
"174","RPL26"
"175","EIF3G"
"176","TPM3"
"177","CSNK1A1"
"178","MRPL19"
"179","GRPEL1"
"180","UBE2D3"
"181","CYB5B"
"182","TPT1"
"183","POLDIP3"
"184","EIF3H"
"185","PRPF8"
"186","HNRNPF"
"187","SRPK1"
"188","PPP6R3"
"189","DHX15"
"190","MRPL22"
"191","SEC61A1"
"192","RBPJ"
"193","DNAJA2"
"194","FBL"
"195","SRSF2"
"196","WAC"
"197","CTNNA1"
"198","IK"
"199","GNL2"
"200","SMARCA5"
"201","SNW1"
"202","SNRPA1"
"203","EXOSC7"
"204","ARCN1"
"205","CIRH1A"
"206","RRP15"
"207","MEA1"
"208","CYCS"
"209","LAMTOR5"
"210","CCT2"
"211","SNRPB2"
"212","SEC62"
"213","SEH1L"
"214","POLR2L"
"215","CENPN"
"216","RPS21"
"217","SUMO1"
"218","SF3B4"
"219","SSR4"
"220","TRMT6"
"221","PDCD11"
"222","FKBP4"
"223","LUC7L"
"224","SNHG1"
"225","PSMG1"
"226","DNAJC7"
"227","NARF"
"228","RPL18"
"229","DEK"
"230","EIF2S2"
"231","RDX"
"232","TPD52L2"
"233","MATR3"
"234","WBSCR22"
"235","CMTM6"
"236","ZNHIT1"
"237","FAU"
"238","ISCU"
"239","CBX1"
"240","EWSR1"
"241","STAU1"
"242","RPL37"
"243","C14ORF166"
"244","RPS7"
"245","MAPK1IP1L"
"246","ARGLU1"
"247","MLF2"
"248","RAB1A"
"249","RPS16"
"250","PCM1"
"251","RPL6"
"252","ATP6V1D"
"253","SMC3"
"254","HNRNPC"
"255","SEC61B"
"256","CEP57"
"257","TXN2"
"258","GORASP2"
"259","PSMB4"
"260","PLRG1"
"261","ACP1"
"262","SAFB2"
"263","MRPL44"
"264","PTCD3"
"265","WDR46"
"266","EIF3IP1"
"267","UBAP2L"
"268","TSR1"
"269","FTSJ3"
"270","SMARCB1"
"271","EIF2S1"
"272","RPS15"
"273","ARF6"
"274","COX7A2"
"275","DENR"
"276","SYAP1"
"277","RPP30"
"278","RAD21"
"279","PNO1"
"280","UBE2K"
"281","EIF5A"
"282","RPS18"
"283","MRPL16"
"284","CS"
"285","FKBP2"
"286","RQCD1"
"287","ZCCHC17"
"288","DHX29"
"289","CEBPZ"
"290","PIPSL"
"291","SAR1A"
"292","SRSF6"
"293","IST1"
"294","RPL10"
"295","MYEOV2"
"296","COX7B"
"297","SF1"
"298","NSD1"
"299","SPCS2"
"300","PKN2"
"301","BRD2"
"302","KIAA0020"
"303","PSMD2"
"304","UBB"
"305","U2SURP"
"306","CDC5L"
"307","NOL10"
"308","NDUFB11"
"309","FXR1"
"310","PSMB3"
"311","STIP1"
"312","PFDN2"
"313","GRWD1"
"314","APEX1"
"315","RAB10"
"316","MRPS25"
"317","NAPA"
"318","CHCHD7"
"319","MARS"
"320","MRPS14"
"321","YTHDF2"
"322","SBDS"
"323","TMEM50A"
"324","COPS3"
"325","RNF181"
"326","DNTTIP2"
"327","EIF3K"
"328","EIF4E2"
"329","RBM14"
"330","PRMT1"
"331","ORC6"
"332","CNOT2"
"333","KNOP1"
"334","NIPBL"
"335","ABHD2"
"336","USP10"
"337","EMC4"
"338","UBXN4"
"339","NOP2"
"340","POMP"
"341","SEPT2"
"342","C14ORF119"
"343","TRIAP1"
"344","HSBP1"
"345","MRPL57"
"346","AURKB"
"347","DNAJC8"
"348","SRSF4"
"349","RAD1"
"350","PSMD4"
"351","EIF3A"
"352","GTF2F1"
"353","BCAP31"
"354","PRPF4"
"355","WSB1"
"356","NSA2"
"357","KIF5B"
"358","MRPL55"
"359","SMAD2"
"360","SAP18"
"361","ADRM1"
"362","RPL38"
"363","AATF"
"364","EEF2"
"365","LYAR"
"366","NSRP1"
"367","POLR2F"
"368","RBM25"
"369","TMPO"
"370","PAK1IP1"
"371","RPS27"
"372","SUMO2"
"373","PRPF4B"
"374","TIMMDC1"
"375","FAM60A"
"376","MESDC2"
"377","HNRNPDL"
"378","SCO1"
"379","POLR1D"
"380","UXT"
"381","NUDT21"
"382","KPNA1"
"383","NOP10"
"384","SURF6"
"385","ZCRB1"
"386","NDUFB6"
"387","GNL3"
"388","CDC27"
"389","VIMP"
"390","LMAN1"
"391","XPO1"
"392","TCERG1"
"393","ARPP19"
"394","DDX52"
"395","NMT1"
"396","NOLC1"
"397","MELK"
"398","GIGYF2"
"399","ERP44"
"400","NAT10"
"401","CLINT1"
"402","TMA7"
"403","HCCS"
"404","YTHDC1"
"405","GTF3C2"
"406","TSN"
"407","TIMM23"
"408","SNHG8"
"409","TRIM13"
"410","NAE1"
"411","RBM6"
"412","SF3B6"
"413","OGFOD1"
"414","SIVA1"
"415","BDP1"
"416","NTMT1"
"417","WAPAL"
"418","UTP6"
"419","COX6C"
"420","ORC1"
"421","PAIP2"
"422","ARIH2"
"423","UBE2L3"
"424","PSMC5"
"425","BCCIP"
"426","MED28"
"427","TAF1D"
"428","FBXW2"
"429","MRPL53"
"430","SLC3A2"
"431","COA6"
"432","DDX6"
"433","SRRT"
"434","METAP2"
"435","NCBP2"
"436","PAFAH1B1"
"437","EIF3M"
